"dia_ano","dias","otimista","casos_estimados","pessimista","x"
196,2020-07-14,6714,6949,7184,6977
197,2020-07-15,6742,6978,7214,7030
198,2020-07-16,6768,7005,7242,7127
199,2020-07-17,6792,7030,7268,7165
200,2020-07-18,6815,7054,7293,7173
201,2020-07-19,6837,7077,7317,7178
202,2020-07-20,6858,7098,7338,7185
203,2020-07-21,6876,7117,7358,7284
204,2020-07-22,6894,7136,7378,7317
205,2020-07-23,6911,7153,7395,7374
206,2020-07-24,6927,7170,7413,7426
207,2020-07-25,6942,7185,7428,NA
208,2020-07-26,6956,7200,7444,NA
209,2020-07-27,6969,7213,7457,NA
210,2020-07-28,6981,7226,7471,NA
211,2020-07-29,6992,7237,7482,NA
212,2020-07-30,7004,7249,7494,NA
213,2020-07-31,7013,7259,7505,NA
214,2020-08-01,7023,7269,7515,NA
215,2020-08-02,7032,7278,7524,NA
216,2020-08-03,7039,7286,7533,NA
