"dia_ano","dias","otimista","casos_estimados","pessimista","x"
177,2020-06-25,476,498,520,509
178,2020-06-26,494,517,540,532
179,2020-06-27,512,536,560,537
180,2020-06-28,530,555,580,548
181,2020-06-29,549,575,601,559
182,2020-06-30,567,594,621,587
183,2020-07-01,587,614,641,620
184,2020-07-02,605,633,661,631
185,2020-07-03,624,653,682,643
186,2020-07-04,643,673,703,671
187,2020-07-05,661,692,723,699
188,2020-07-06,680,712,744,NA
189,2020-07-07,698,731,764,NA
190,2020-07-08,717,750,783,NA
191,2020-07-09,735,769,803,NA
192,2020-07-10,753,788,823,NA
193,2020-07-11,771,807,843,NA
194,2020-07-12,788,825,862,NA
195,2020-07-13,805,843,881,NA
196,2020-07-14,822,860,898,NA
197,2020-07-15,838,877,916,NA
