"dia_ano","dias","otimista","casos_estimados","pessimista","x"
163,2020-06-11,190,201,212,189
164,2020-06-12,197,209,221,194
165,2020-06-13,205,217,229,208
166,2020-06-14,213,226,239,211
167,2020-06-15,222,235,248,226
168,2020-06-16,230,244,258,246
169,2020-06-17,240,254,268,252
170,2020-06-18,249,264,279,264
171,2020-06-19,259,274,289,281
172,2020-06-20,269,285,301,295
173,2020-06-21,279,295,311,303
174,2020-06-22,290,307,324,NA
175,2020-06-23,300,318,336,NA
176,2020-06-24,312,330,348,NA
177,2020-06-25,323,342,361,NA
178,2020-06-26,334,354,374,NA
179,2020-06-27,346,366,386,NA
180,2020-06-28,358,379,400,NA
181,2020-06-29,370,392,414,NA
182,2020-06-30,384,406,428,NA
183,2020-07-01,396,419,442,NA
