"dia_ano","dias","otimista","casos_estimados","pessimista","x"
128,2020-05-07,305,315,325,305
129,2020-05-08,327,337,347,330
130,2020-05-09,348,359,370,355
131,2020-05-10,369,381,393,379
132,2020-05-11,390,402,414,399
133,2020-05-12,410,423,436,423
134,2020-05-13,430,443,456,444
135,2020-05-14,448,462,476,470
136,2020-05-15,465,480,495,NA
137,2020-05-16,482,497,512,NA
138,2020-05-17,497,513,529,NA
139,2020-05-18,512,528,544,NA
140,2020-05-19,526,542,558,NA
141,2020-05-20,538,555,572,NA
142,2020-05-21,550,567,584,NA
