"dia_ano","dias","otimista","casos_estimados","pessimista","x"
152,2020-05-31,259,284,309,271
153,2020-06-01,269,294,319,278
154,2020-06-02,279,305,331,289
155,2020-06-03,288,315,342,306
156,2020-06-04,297,325,353,323
157,2020-06-05,307,336,365,344
158,2020-06-06,316,346,376,368
159,2020-06-07,326,357,388,376
160,2020-06-08,335,367,399,NA
161,2020-06-09,345,378,411,NA
162,2020-06-10,354,388,422,NA
163,2020-06-11,365,399,433,NA
164,2020-06-12,374,409,444,NA
165,2020-06-13,384,420,456,NA
166,2020-06-14,393,430,467,NA
