"dia_ano","dias","otimista","casos_estimados","pessimista","x"
165,2020-06-13,169,189,209,192
166,2020-06-14,183,204,225,209
167,2020-06-15,197,220,243,216
168,2020-06-16,213,238,263,226
169,2020-06-17,229,256,283,266
170,2020-06-18,245,274,303,281
171,2020-06-19,263,294,325,309
172,2020-06-20,281,314,347,335
173,2020-06-21,300,335,370,360
174,2020-06-22,319,356,393,384
175,2020-06-23,338,378,418,401
176,2020-06-24,358,400,442,NA
177,2020-06-25,378,422,466,NA
178,2020-06-26,398,445,492,NA
179,2020-06-27,418,467,516,NA
180,2020-06-28,438,489,540,NA
181,2020-06-29,457,511,565,NA
182,2020-06-30,477,533,589,NA
183,2020-07-01,496,554,612,NA
184,2020-07-02,515,575,635,NA
185,2020-07-03,533,595,657,NA
