"dia_ano","dias","otimista","casos_estimados","pessimista","x"
141,2020-05-20,1762,1825,1888,1834
142,2020-05-21,1848,1914,1980,1925
143,2020-05-22,1935,2004,2073,2057
144,2020-05-23,2022,2094,2166,2144
145,2020-05-24,2110,2185,2260,2200
146,2020-05-25,2197,2275,2353,2248
147,2020-05-26,2283,2365,2447,2328
148,2020-05-27,2370,2455,2540,2468
149,2020-05-28,2455,2543,2631,NA
150,2020-05-29,2539,2630,2721,NA
151,2020-05-30,2622,2716,2810,NA
152,2020-05-31,2703,2800,2897,NA
153,2020-06-01,2783,2882,2981,NA
154,2020-06-02,2859,2961,3063,NA
155,2020-06-03,2934,3039,3144,NA
