"dia_ano","dias","otimista","casos_estimados","pessimista","x"
135,2020-05-14,2135,2243,2351,2247
136,2020-05-15,2276,2392,2508,2438
137,2020-05-16,2425,2548,2671,2614
138,2020-05-17,2579,2710,2841,2715
139,2020-05-18,2740,2879,3018,2852
140,2020-05-19,2907,3055,3203,3079
141,2020-05-20,3081,3237,3393,3237
142,2020-05-21,3259,3424,3589,3412
143,2020-05-22,3442,3617,3792,NA
144,2020-05-23,3631,3815,3999,NA
145,2020-05-24,3824,4018,4212,NA
146,2020-05-25,4020,4224,4428,NA
147,2020-05-26,4220,4434,4648,NA
148,2020-05-27,4423,4647,4871,NA
149,2020-05-28,4626,4861,5096,NA
