"dia_ano","dias","otimista","casos_estimados","pessimista","x"
186,2020-07-04,317,348,379,364
187,2020-07-05,324,355,386,368
188,2020-07-06,329,361,393,371
189,2020-07-07,335,367,399,376
190,2020-07-08,340,373,406,386
191,2020-07-09,346,379,412,393
192,2020-07-10,351,385,419,393
193,2020-07-11,356,390,424,396
194,2020-07-12,361,396,431,396
195,2020-07-13,366,401,436,397
196,2020-07-14,370,406,442,398
197,2020-07-15,374,410,446,NA
198,2020-07-16,379,415,451,NA
199,2020-07-17,382,419,456,NA
200,2020-07-18,386,423,460,NA
201,2020-07-19,389,427,465,NA
202,2020-07-20,393,431,469,NA
203,2020-07-21,397,435,473,NA
204,2020-07-22,399,438,477,NA
205,2020-07-23,402,441,480,NA
206,2020-07-24,406,445,484,NA
