"dia_ano","dias","otimista","casos_estimados","pessimista","x"
145,2020-05-24,5927,6249,6571,6163
146,2020-05-25,6101,6432,6763,6220
147,2020-05-26,6272,6612,6952,6423
148,2020-05-27,6439,6788,7137,6712
149,2020-05-28,6603,6961,7319,6980
150,2020-05-29,6762,7129,7496,7275
151,2020-05-30,6917,7292,7667,7532
152,2020-05-31,7067,7451,7835,7615
153,2020-06-01,7213,7604,7995,NA
154,2020-06-02,7354,7753,8152,NA
155,2020-06-03,7490,7896,8302,NA
156,2020-06-04,7620,8034,8448,NA
157,2020-06-05,7746,8166,8586,NA
158,2020-06-06,7866,8293,8720,NA
159,2020-06-07,7981,8414,8847,NA
