"dia_ano","dias","otimista","casos_estimados","pessimista","x"
193,2020-07-11,236,256,276,251
194,2020-07-12,238,259,280,255
195,2020-07-13,242,263,284,259
196,2020-07-14,245,266,287,267
197,2020-07-15,248,269,290,271
198,2020-07-16,250,272,294,278
199,2020-07-17,253,275,297,283
200,2020-07-18,256,278,300,288
201,2020-07-19,258,280,302,294
202,2020-07-20,260,283,306,299
203,2020-07-21,262,285,308,308
204,2020-07-22,265,288,311,NA
205,2020-07-23,267,290,313,NA
206,2020-07-24,269,292,315,NA
207,2020-07-25,271,294,317,NA
208,2020-07-26,272,296,320,NA
209,2020-07-27,274,298,322,NA
210,2020-07-28,276,300,324,NA
211,2020-07-29,277,301,325,NA
212,2020-07-30,279,303,327,NA
213,2020-07-31,280,304,328,NA
